"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36"
674,1589,52,1029,2582,580,903,1064,1896,3494,228,952,1167,3418,1739,2074,3499,3036,1575,1889,2379,2227,917,90,2952,111,2183,2018,859,1512,1317,4,3330,3403,1055,2726
3210,1586,3007,2576,2399,844,869,907,584,386,2646,2123,645,2112,2414,3001,3080,1517,337,1409,613,2663,808,944,2552,1291,2098,2993,1946,1294,2167,2931,2708,2109,2638,1375
2641,1707,410,3186,850,3446,2508,3115,2954,2472,3511,2309,2752,979,1231,1260,20,539,3474,2676,1525,1030,463,938,1070,144,1136,2474,2036,2487,699,3051,1814,2764,694,1615
696,1181,988,1647,2162,743,600,2168,902,494,1841,1945,582,2931,2771,350,396,2800,1294,1336,944,745,2196,2167,3178,2656,1271,737,549,2450,2254,1409,1639,2599,149,2093
505,169,3127,2668,2816,2223,954,3250,788,2874,2630,324,3098,1331,1742,714,436,752,2219,2747,739,2153,3510,3324,3141,2243,3052,992,292,3291,1038,92,1572,233,1134,1728
1432,1459,1067,3058,542,1413,2160,1706,1557,897,3391,2353,12,1855,16,1669,513,3173,2336,195,2503,2003,2974,2555,2686,664,574,1103,642,3222,2587,2040,1649,1736,241,740
1106,2586,3296,3414,3553,1811,855,2942,1854,923,2926,2398,1065,651,1116,2327,2002,2763,1365,1410,1837,2643,2883,697,2369,880,736,1531,3199,1900,1607,816,2143,1719,2307,2329
1203,900,3016,2158,1450,3025,1660,1001,1132,189,562,481,2416,965,3357,632,2312,898,3294,3247,1242,3576,2803,2501,659,247,1,355,1928,1052,2648,2725,394,2028,1414,1209
288,3430,3346,2166,1743,2989,1979,787,1049,182,19,2572,1688,2039,1592,1720,3283,2261,2354,1269,1887,3331,1704,1224,3066,368,3501,1395,1309,2560,95,1703,1312,1481,2273,1449
1154,1004,1081,459,1724,3144,1258,366,3495,3582,205,953,634,1993,3248,1846,2388,1420,2968,1820,2330,647,852,1907,1234,2376,1684,122,124,3131,1674,681,3527,2710,1793,3421
1991,924,1558,2969,1392,389,1330,3263,1109,1714,858,3040,1840,1027,229,317,1349,66,3594,399,3170,251,2749,352,86,2463,518,3313,420,2401,1676,3451,2806,377,116,796
345,2425,765,993,565,1074,522,2613,2296,1996,1591,407,3077,200,2005,1942,1393,2792,533,1406,1746,1062,2050,521,3031,6,196,2072,3437,339,411,3300,601,452,273,1473
2605,2945,2415,689,3529,2848,1035,3118,1023,2940,1560,2385,3183,1603,1210,425,891,2762,2311,2332,2392,1529,3593,2994,755,1916,2673,676,2027,1850,723,3571,1097,294,2995,497
2335,2740,2142,299,3359,707,2451,482,147,843,1858,2507,1982,1247,3158,820,440,1316,1066,1012,1013,428,1221,1579,1933,3431,922,3269,1713,1565,2316,2911,1394,107,2506,705
2994,3571,1515,1874,1059,1628,425,3593,749,356,2897,2898,3118,362,2896,1529,1797,2357,2415,1210,595,1560,2170,1712,497,1376,2045,2984,2105,972,2605,2913,2161,3048,755,2096
1167,903,1029,37,1064,2582,1575,1889,674,3418,580,3499,1317,2379,3494,1589,917,952,2607,1924,3583,2851,1739,1896,228,3403,3036,1055,859,2183,1650,2074,2268,2315,2018,1512
2732,3399,155,1386,2023,725,732,1194,1075,663,1343,2184,1128,136,1675,530,722,1948,2383,1077,69,1548,1989,3549,3464,206,1060,3020,2175,1632,1655,474,220,2421,2148,1766
2231,1425,2187,920,646,2724,2306,2769,246,1069,552,911,909,2038,213,2970,468,2921,1028,1700,1265,2406,2689,143,3046,2274,2225,1308,3522,811,2702,3497,2173,475,2427,2944
2500,1182,1147,1096,635,1456,1608,3278,3457,1377,1114,188,2504,72,1534,784,1630,1877,626,3139,2248,3148,3462,1754,556,1322,1638,537,961,3448,2987,112,2657,927,285,2386
969,75,617,610,3547,2959,3110,2823,2444,999,2301,1939,1955,2499,837,889,2621,655,3089,1020,201,1845,933,690,1521,766,1125,955,118,2120,3385,3504,890,1325,836,1366
1289,172,3591,3550,685,2912,1313,761,3113,202,2445,757,2432,1003,1424,1104,1740,2927,2513,2250,1019,1803,3057,455,2608,2753,2761,3538,2024,3535,100,1180,2077,1760,1614,332
1443,1941,1370,3257,1584,3290,3044,818,423,1890,2619,2961,471,807,2236,571,3388,915,3548,2026,1047,240,153,3301,1441,906,257,1015,3216,392,148,2447,3485,1248,639,1785
1888,330,1609,980,1656,2019,1222,1585,873,1716,3245,2700,2956,135,2341,541,2453,598,1633,2776,400,2319,2163,3253,2863,798,3426,2277,2964,2780,838,2839,342,1620,1668,475
2830,2882,238,121,1839,1275,1285,2760,3071,1634,2390,879,2887,1737,2741,3500,2448,130,3034,2941,3365,1901,2439,3062,341,2895,1284,2706,882,1086,67,477,1212,1063,1444,1099
1644,1083,1110,99,509,2213,2557,3268,659,1973,1390,1657,2664,1526,247,3039,2539,2725,1745,1320,2222,562,1969,2028,467,3357,1113,1174,301,98,3436,898,1139,631,2803,2843
1405,1345,997,1219,377,2084,3322,2868,1768,2463,3104,2749,1046,735,3190,2520,229,1784,83,352,2400,3580,870,194,987,1109,3225,3263,14,86,1919,2524,3289,682,1991,1270
586,22,3073,3184,848,601,921,339,1259,1127,1436,3031,573,1663,3101,3238,2792,640,2924,2801,3384,1810,2072,1705,3227,243,407,375,1591,1062,2618,3609,3205,3229,1074,1107
2600,2893,538,2891,1433,401,3408,373,2950,2051,2099,343,2417,2712,1645,633,2998,2431,3192,3389,1621,2510,1076,1475,1937,1770,2642,1189,2092,1078,2602,3106,3332,3055,2057,1492
1868,3608,3253,2163,2274,3046,2864,2173,1585,838,475,246,2189,309,541,2341,2970,2038,156,627,1697,2406,1609,1888,2964,2137,143,920,2231,2319,3390,873,1581,1069,3245,2769
518,116,858,2401,3040,389,251,479,420,1392,1419,924,1129,1349,2198,317,3396,47,2590,1573,1676,796,381,1714,2592,941,1558,3263,1991,1849,1883,3313,3010,86,1006,2969
3500,2895,2523,2833,1901,1938,3071,2390,1507,2246,1617,1980,121,3062,2337,1876,2706,3551,238,1275,2741,130,506,333,2978,3013,2447,3442,577,3033,60,1063,2654,240,1444,2962
1587,3202,3375,1863,1923,3167,2177,1800,106,797,2847,1158,185,2271,1723,966,465,1680,1230,3175,861,2069,860,1268,2082,3587,2034,1995,3130,1319,139,1741,2606,1520,1909,2983
1343,3020,363,186,1128,1655,1948,3399,1342,3116,2477,1077,2023,1766,800,695,732,207,2184,53,2175,1386,654,347,603,1547,2115,1548,2871,1936,725,1618,2791,1675,1200,3279
1309,1269,576,1887,2039,1848,2273,182,1140,368,1472,1592,3088,1743,962,2867,288,3006,2354,883,2166,3091,1481,1979,3019,45,3213,2737,3346,825,821,1395,2245,2261,2419,3430
896,2217,26,1783,2773,527,2381,502,2070,140,3232,3503,1358,2714,2081,1048,3562,652,1213,2584,2946,1769,1111,1627,840,398,405,519,1299,516,971,2759,256,2543,790,1000
1182,1114,2248,1377,1877,635,1096,1534,2504,55,3448,1608,112,556,1322,1147,3278,1456,3148,3139,2500,1974,188,3060,784,626,927,3457,1802,3462,537,961,1754,1630,3211,1816
1540,2238,3215,2977,2532,1033,3363,2691,1334,1576,2394,1496,625,1686,604,27,3174,2591,353,1400,2035,854,164,2840,1236,3293,3456,1935,96,2980,512,2860,1092,1516,517,3508
187,2318,3093,886,1542,2788,1191,1843,2326,1626,1986,1252,2862,1912,779,2476,1921,3428,13,2713,1272,504,691,3325,704,2928,3402,1847,2580,1550,3358,175,1183,2678,1263,3003
1955,3110,610,56,999,3547,3089,1020,969,2499,2959,2621,3385,201,2444,617,766,1939,2722,3181,3242,531,837,2823,2301,1325,655,836,955,1125,484,889,1994,2870,118,2120
871,2826,212,1431,2157,21,607,1396,1461,2885,2986,742,2367,227,1347,338,221,2837,2540,1929,3334,230,963,1000,1788,3374,2614,2129,1623,3530,256,2362,777,2006,3509,1310
431,427,2516,3054,2376,852,1978,3435,1793,1674,366,1685,3122,1326,2388,2684,1513,634,487,3219,1091,124,1305,1724,2470,1931,1154,1546,2968,2347,1487,953,1988,2481,113,1258
1082,559,2715,1205,2007,1869,1487,2433,2106,2485,1061,2610,487,534,1997,596,2221,3068,3122,1091,3219,1245,1341,1115,2090,989,930,2125,1967,3119,1978,3152,2856,1498,2423,2457
2886,3047,2391,2124,3298,346,2907,1050,2825,320,2647,2044,2515,1947,2611,2134,1278,1438,2355,2365,3002,3177,1795,3488,2904,2100,2083,327,2559,498,501,3197,575,1238,1763,817
1583,1159,2080,2900,2012,2628,2460,1435,3134,2276,589,1774,2437,1596,1987,1954,2579,2840,1976,854,3236,2496,2688,2808,2339,2197,2659,179,1516,1702,2860,1668,3363,2491,168,812
1264,478,830,2932,567,1535,2459,262,1905,2322,931,545,2783,1039,265,3133,2930,1915,1384,134,976,1687,3140,977,1764,688,2267,2973,3314,1024,336,2772,397,1184,3111,795
3145,379,946,2151,3533,2252,2233,1447,36,500,1809,2906,2174,1016,1833,2297,1207,3425,3540,636,1486,311,3189,1885,2575,2511,590,1479,1402,3185,2861,3233,1118,1428,3157,3344
2400,2524,3322,892,260,1046,2284,997,735,2052,1126,352,1219,585,1253,2463,3289,2806,1768,282,62,2644,1288,377,3225,2171,177,1109,1120,1027,1405,2988,1625,229,1146,3170
1898,2716,1693,1014,403,1364,2059,1821,2454,1044,1357,3259,648,1654,2344,3231,1556,3569,97,819,2999,947,693,1138,608,856,2996,261,1123,733,3605,94,3112,3354,762,450
715,1403,435,3429,839,3155,3270,3136,1174,3316,939,158,1771,564,301,631,35,250,2585,2446,3478,813,2719,2843,1753,2004,3344,822,1973,1526,3420,326,1320,1402,2813,3039
682,1676,1784,317,3263,2749,987,1834,924,2084,229,251,1130,3104,1991,377,2590,858,753,3580,1601,47,1806,1109,2463,389,1129,1345,62,518,2013,2969,1883,2520,66,997
231,1235,469,2738,3467,1149,2490,554,3337,382,3021,2992,1892,3519,770,746,365,2694,3356,3078,2849,675,2180,418,1761,2965,878,2651,916,1502,2562,2127,1267,2653,620,1350
2587,2003,3285,1649,1790,2380,1669,437,2336,1861,2832,3306,664,897,3560,3536,2304,1509,2353,542,241,402,2495,454,701,1678,2103,12,642,1471,574,3395,1067,2742,1122,2320
1826,793,1653,3455,1730,138,563,3194,1216,3483,2411,876,2247,1510,942,1927,1276,3027,2130,3416,2674,2635,2609,92,1964,703,2067,2272,2755,409,2199,739,310,2685,1857,3241
1896,1739,3191,2952,637,2726,1057,674,2074,667,2018,1602,2671,4,1589,3494,2102,984,1281,2693,3567,2183,37,1029,548,1852,2227,1169,228,2015,3418,622,2949,3063,2550,580
2083,274,1387,1137,3488,1832,817,320,3327,217,3197,1438,1333,2786,1947,744,2559,1694,346,449,2901,3298,3177,1690,2044,374,2825,2249,79,3509,2873,3047,327,447,2124,2129
1742,3324,739,1964,2411,942,2630,788,1927,2635,1730,1822,2816,2153,138,1216,2243,3241,2223,714,2668,3483,752,89,3455,2755,3328,3014,703,694,41,1653,1728,1572,2487,3027
2666,1297,905,815,572,2879,1499,2155,2757,2802,1295,2658,1729,623,804,1279,2046,3581,1165,1853,1786,810,291,1971,2852,1133,2875,901,3260,3188,2675,3447,1699,1711,3373,3092
3231,693,1903,2999,3537,1056,1357,2454,616,803,857,3011,1014,947,2625,1457,608,1787,1364,2716,514,2344,3569,1539,157,348,438,1477,1732,3090,84,3371,450,3523,2133,3354
2261,1224,1073,2571,1395,2204,2572,2354,1703,3473,1071,171,1979,1720,3491,2787,1481,1105,3346,1049,543,864,1592,3501,2846,368,2338,1117,2737,520,288,877,1643,3283,2867,2292
3456,1496,3508,2591,3174,1555,2532,3293,1516,1033,801,2394,2840,3363,1976,222,1236,335,73,2238,2437,17,3215,604,854,3361,2878,2977,2276,2460,2178,1878,625,512,1540,1576
1821,648,2462,3605,856,3120,1693,1556,819,29,1679,3165,1898,2059,783,349,762,275,84,403,2918,2892,3259,1123,3440,718,117,1138,3434,2727,1364,1528,1654,2529,3282,1163
2803,2725,3459,1657,1113,2056,2501,3357,2539,1022,1110,2085,189,1139,659,2215,1083,3042,632,1779,3016,1209,1969,562,3596,3268,509,2720,416,61,2536,2158,247,643,974,1644
2557,1644,1526,61,2213,1973,1320,2664,509,1083,3039,1174,1745,3268,1110,1390,631,301,3124,3436,2222,813,659,247,467,2539,2843,3429,715,1657,3480,2028,1969,3316,2725,3136
3520,2723,2589,2250,2432,2513,101,660,761,1313,2116,1544,2363,1289,3200,3057,2131,1019,3217,3550,2563,1999,172,1740,2598,1424,751,3254,2728,3544,57,1503,1614,763,2077,578
2589,3520,3217,2363,2131,1999,100,1544,660,1503,2374,578,2513,2723,3465,2563,3254,2467,2432,2250,1019,2728,914,3252,2264,3466,3566,3200,2598,2186,1313,3589,272,1283,2116,2010
566,159,1871,2682,2042,1290,2951,3198,2,2665,1255,2601,686,3083,1492,1605,2349,1621,2317,3150,2627,2041,1713,1815,1394,2712,581,3338,3192,2632,1066,2519,3408,2642,1012,2950
152,639,884,392,2079,2278,3584,771,257,3114,2236,3097,3364,3484,3301,2126,1890,3604,3524,814,2258,3485,2465,2947,807,423,3507,2854,3274,3257,2707,2917,1441,3135,1941,1211
344,1943,1451,414,2541,995,1734,270,2025,1521,1506,2268,1108,293,890,1845,2405,1055,3573,3168,655,2301,2049,3035,1232,859,2851,2888,3504,917,3372,2120,1629,889,318,3499
1177,3496,1274,3287,145,3449,867,2172,3433,826,131,2908,415,2033,547,412,2413,3531,1651,1658,2701,15,1422,2434,3412,2181,2022,2545,2534,2361,129,133,2518,3160,1304,1164
1268,1863,2271,966,2082,3202,2177,2606,1520,797,68,3129,3175,2069,3375,9,1587,919,3311,861,1230,1886,1723,185,1469,2815,3556,1923,2567,3167,756,2789,3545,1800,2662,2847
1221,123,581,553,1012,3150,2316,482,2430,2519,686,1713,820,2488,2317,1090,1982,3083,3431,2291,2142,2335,3338,781,2,1066,119,460,1858,1605,2451,3611,3444,945,50,3009
2674,2199,1504,2770,1439,3602,2247,2609,1717,1362,508,3271,3194,2130,2687,277,3246,1353,1826,1276,563,310,1957,1664,1755,370,2242,183,2756,2366,793,3416,1880,28,708,3196
3228,2298,351,2097,1801,1068,2169,1882,1372,3367,2200,670,1485,1884,1404,1958,776,2556,1168,1172,1097,384,1430,2141,2389,2975,2136,899,550,2054,1434,2190,3030,2392,2071,630
3126,3335,3220,1828,661,1519,2117,2935,656,881,1340,747,1306,3528,1379,3427,2890,3222,8,241,2807,1348,1588,574,3079,2206,416,1736,643,2686,402,2152,513,2720,2185,3601
3036,228,2227,3330,3128,2597,1512,580,2949,429,2074,1738,952,2588,1589,4,3087,792,859,2582,3035,1266,37,3561,3567,1896,1637,955,836,2952,3310,3499,674,2120,1057,2870
556,1877,3060,2248,2504,927,3211,1377,3139,1816,1096,72,2387,3278,961,1879,1182,2812,3462,1456,2293,55,1114,784,285,3317,635,253,2500,3448,1534,1147,874,1608,1322,3457
2347,2009,1513,679,3482,2470,1685,1344,885,1808,3376,1793,1931,1554,1549,2516,719,124,2684,2735,427,1196,3106,893,3351,1173,3131,2376,2388,191,1988,3406,1937,77,953,2092
2300,592,2201,3138,323,1087,3502,432,3407,1570,2828,1428,2255,2456,750,2260,1881,3185,1217,968,3166,2751,1328,1750,2866,590,2511,199,1514,3425,2972,653,638,3159,2906,2799
991,1176,1100,1058,11,950,176,2612,3475,2218,3566,1604,1002,3563,2088,272,3203,2186,1185,180,2689,524,3105,1283,3497,1332,315,3254,1303,578,2122,2225,2467,3095,2728,2785
2401,66,518,479,1419,2198,3040,3396,1129,858,381,941,420,389,251,1573,1849,3010,1349,2592,1392,1006,2590,1883,3516,924,1201,3235,1142,317,796,611,47,1676,1718,1862
762,3282,2727,3165,1142,3235,275,1123,856,1862,1718,941,1163,3120,1556,3249,3010,1849,718,3059,1679,913,3259,733,1006,1201,97,1821,2198,1419,1005,973,2462,3396,1898,381
1125,2449,1220,1366,2444,837,540,2499,2180,3471,933,969,1325,2251,878,2651,610,2823,1401,201,925,3110,3519,770,2653,536,690,56,617,2127,1994,2849,23,75,3356,889
2150,460,3611,3050,2430,2488,2291,3377,2703,3312,1090,123,1559,3539,3444,1968,2316,553,385,3578,2290,945,319,3431,781,2519,1221,107,3343,24,3304,2483,2690,820,581,33
263,2403,2538,647,2330,1508,3582,2156,3527,681,1527,2859,1846,3248,698,728,1566,3024,1234,459,1081,1262,3226,2031,1751,1684,1202,2850,1894,3495,205,523,1112,2838,46,2224
3071,3500,60,238,1275,2390,2882,1901,2895,2741,1839,130,67,2830,1634,3062,2706,879,2523,1285,2760,1737,1938,2246,1284,1063,1980,2448,1444,1086,2833,2887,341,333,577,882
205,678,1530,1420,1684,3421,1202,3131,1851,3144,3248,314,1250,953,681,893,1081,1148,1151,1724,1112,124,698,1808,1478,46,2330,3406,3582,3487,1037,2388,263,1554,459,3266
2316,1221,107,2488,553,2430,2291,820,581,1090,1012,119,3431,2519,482,3150,3611,460,945,1858,1559,2317,2142,781,686,1982,3444,2150,3050,1713,3269,3338,2335,3083,3377,3312
2388,3131,1793,953,1808,2470,1420,2376,1724,893,1513,3482,3421,3144,366,2516,1554,113,122,314,205,1685,852,77,2347,3406,46,1154,885,679,678,427,1081,2009,634,1196
329,3374,3509,2901,221,1929,449,2786,2885,2129,3327,2157,742,374,2362,1333,217,1137,2367,3530,212,274,21,1694,2540,1387,447,2837,817,76,607,91,777,1431,2083,2249
1838,2980,1092,2877,393,936,1458,1935,1812,2754,27,313,2758,3405,1334,628,2035,1293,569,517,1198,1385,3486,1686,3196,2226,2977,2356,529,1576,2820,2835,183,1540,2382,1400
1475,2657,1078,1754,2057,2987,633,1076,626,1630,602,1752,373,188,3568,537,2510,1638,2893,1645,3457,2099,1608,3332,3148,1641,1173,191,2600,1147,2144,1937,401,2642,1534,1483
925,1401,2140,1759,3262,1827,540,23,1273,1994,1462,2251,1325,2521,1010,2449,536,1125,1378,3409,951,201,3242,3471,2617,2499,2629,118,2286,3089,1220,2127,2444,2393,328,3110
1651,415,832,2530,2836,1658,1188,826,867,2817,588,1899,3496,2468,3275,2701,2181,1642,3287,960,2170,982,145,2033,2413,2913,1505,2384,2489,378,105,1376,2220,1164,3160,758
2706,1444,2390,1086,879,1275,1901,577,882,1839,967,121,1980,2448,3154,3500,306,60,1938,3033,2760,67,1099,1844,2830,2061,480,3071,238,30,3551,2439,2149,2882,2895,3404
15,3412,3531,3449,412,1274,2208,133,2908,1304,105,2172,692,3072,2361,145,2434,1177,2294,1667,2480,1021,2534,2413,3496,2287,3287,1422,547,1298,3171,826,3149,1819,3074,3433
862,1578,2678,1239,691,3037,1673,1301,2778,3575,779,3325,1223,1550,1468,361,2326,1093,2844,1373,1626,163,3218,1389,2640,3093,10,1497,2476,175,3280,2928,515,244,2624,886
412,2434,1021,1667,15,692,2172,131,2469,1819,3171,2208,1274,1422,3443,2371,3412,2294,1177,3449,547,3234,3531,1756,192,1363,2014,3015,3072,2480,105,1300,2518,1464,2631,1304
1024,795,2267,2783,1915,262,2705,1184,976,2677,478,545,717,3470,1727,2322,688,1264,1307,1466,2458,2932,3102,2772,1764,81,741,2930,3398,2459,265,3212,830,768,3111,3339
873,980,1222,400,3426,1620,1888,2964,1633,330,3607,1240,2341,59,2956,1495,3049,2620,1585,475,1609,2923,143,2839,387,2544,1656,3095,315,1716,2321,2163,1303,2019,1028,2776
155,1075,2383,474,1194,1989,2732,725,3069,3549,150,1060,53,530,2568,568,722,2692,1386,2023,663,2184,1197,220,1152,1408,1427,956,2148,3026,3399,206,767,1610,1632,3360
3081,499,3598,1951,1088,683,2920,1648,829,3432,2626,1440,1371,2637,367,1794,1857,981,2858,738,802,409,701,1678,430,773,1593,703,3014,1053,1859,1122,2718,3395,3027,1572
3483,1730,1653,2411,1927,89,1826,1510,942,3455,1964,2755,563,793,1216,92,2272,3241,3416,3324,2247,3194,2635,739,1822,2685,876,144,3027,2487,1742,2130,694,1276,1814,703
860,185,3076,1246,483,1230,394,1800,1972,827,2177,756,2107,3576,3587,1587,1524,3175,1,684,2312,3202,465,1242,1923,443,2271,2933,2073,3311,68,3517,1001,1909,1520,3542
2081,26,2217,2714,398,840,2070,971,2381,71,516,790,1769,1783,896,2584,154,1569,1111,835,1048,2711,1358,652,1735,527,2064,1398,1337,2773,256,2759,3232,502,1399,3276
